category,strategy,solver,n_iters,converged,wall_time,final_pos_err_mm,final_orient_err_deg
general,cold,DLS,22,True,0.08766531944274902,4.5834517,0.06460366398096085
general,cold,DLS,300,False,0.9250783920288086,143.40157,0.3708156645298004
general,cold,DLS,300,False,1.1117863655090332,65.82026,6.811636447906494
general,cold,DLS,19,True,0.06253385543823242,3.5197022,0.031700342893600464
general,cold,DLS,19,True,0.0708763599395752,4.991411,0.0
general,cold,DLS,19,True,0.09161520004272461,4.8497376,0.0864940956234932
general,cold,DLS,16,True,0.056941986083984375,3.8877144,0.0249371025711298
general,cold,DLS,6,True,0.017804622650146484,4.2629404,0.10117388516664505
general,cold,DLS,41,True,0.12866806983947754,4.8769755,0.03461683541536331
general,cold,DLS,12,True,0.04536032676696777,4.415278,0.06216205656528473
general,cold,DLS,18,True,0.05124926567077637,4.641916,0.0
general,cold,DLS,300,False,0.8667128086090088,105.72164,4.8441386222839355
general,cold,DLS,300,False,0.9890305995941162,61.010193,0.6135243773460388
general,cold,DLS,23,True,0.06685328483581543,4.8244576,0.04111161828041077
general,cold,DLS,34,True,0.10228943824768066,4.479243,0.05931814759969711
general,cold,DLS,17,True,0.050421714782714844,3.6764162,0.0
general,cold,DLS,27,True,0.08194136619567871,4.4345636,0.04219530150294304
general,cold,DLS,300,False,0.9619829654693604,77.88843,7.372733116149902
general,cold,DLS,300,False,0.928635835647583,22.653038,0.24209687113761902
general,cold,DLS,300,False,0.9092848300933838,139.07942,13.332510948181152
general,cold,DLS,24,True,0.07257270812988281,4.9631658,0.03692416474223137
general,cold,DLS,81,True,0.2731029987335205,4.9136705,0.0
general,cold,DLS,10,True,0.03419208526611328,4.8313937,0.07890210300683975
general,cold,DLS,34,True,0.11854386329650879,4.5551004,0.05610586702823639
general,cold,CCD,7,True,0.12100934982299805,4.8515186,36.21809387207031
general,cold,CCD,8,True,0.10437178611755371,3.147391,172.57215881347656
general,cold,CCD,7,True,0.12180829048156738,2.26873,159.28231811523438
general,cold,CCD,13,True,0.18015074729919434,4.2532825,125.88265991210938
general,cold,CCD,7,True,0.0921468734741211,1.3987157,169.0741729736328
general,cold,CCD,9,True,0.11132192611694336,2.916248,135.27734375
general,cold,CCD,7,True,0.09564089775085449,0.2768268,40.364051818847656
general,cold,CCD,12,True,0.15529561042785645,4.086195,82.17971801757812
general,cold,CCD,9,True,0.11667346954345703,2.7576513,147.48008728027344
general,cold,CCD,42,True,0.5424964427947998,4.7895536,146.09915161132812
general,cold,CCD,6,True,0.07747554779052734,4.144923,104.7258071899414
general,cold,CCD,5,True,0.062455177307128906,2.5892942,165.4622344970703
general,cold,CCD,28,True,0.36742591857910156,4.702604,138.3017578125
general,cold,CCD,8,True,0.09907865524291992,1.2323648,171.24856567382812
general,cold,CCD,6,True,0.08755373954772949,1.0772353,99.16069030761719
general,cold,CCD,15,True,0.1986839771270752,3.807349,173.77081298828125
general,cold,CCD,7,True,0.08585286140441895,2.6520567,89.78426361083984
general,cold,CCD,7,True,0.09619355201721191,1.6467785,45.21867370605469
general,cold,CCD,6,True,0.0740959644317627,1.6210879,161.47015380859375
general,cold,CCD,6,True,0.07915782928466797,2.674401,144.7885284423828
general,cold,CCD,7,True,0.08625030517578125,0.95550245,155.35523986816406
general,cold,CCD,7,True,0.12326931953430176,1.681718,115.91561126708984
general,cold,CCD,7,True,0.10426592826843262,1.5310405,167.71539306640625
general,cold,CCD,6,True,0.07454586029052734,3.6867373,66.8049545288086
general,cold,CCD,8,True,0.1102604866027832,3.7462635,108.17466735839844
general,cold,CCD,11,True,0.13754868507385254,4.1767783,102.51338195800781
general,cold,CCD,8,True,0.1025245189666748,2.467963,123.88739776611328
general,cold,CCD,10,True,0.13079833984375,4.724575,67.9720458984375
general,cold,CCD,10,True,0.11994218826293945,3.4763725,133.87686157226562
general,cold,CCD,7,True,0.08324098587036133,0.07176394,75.89277648925781
general,cold,CCD,37,True,0.557788610458374,4.8752007,159.7465057373047
general,cold,CCD,8,True,0.1333160400390625,3.2423608,86.8277816772461
general,cold,CCD,8,True,0.12759709358215332,1.3141931,49.808837890625
general,cold,CCD,12,True,0.14954328536987305,4.691571,59.41946029663086
general,cold,CCD,18,True,0.22203564643859863,4.8764796,78.69554138183594
general,cold,CCD,7,True,0.09302735328674316,4.898238,159.44000244140625
general,cold,CCD,10,True,0.15406203269958496,3.2128778,60.746742248535156
general,cold,CCD,7,True,0.09592890739440918,3.5858955,111.47444915771484
general,cold,CCD,9,True,0.11049818992614746,0.5285125,163.9574432373047
general,cold,CCD,10,True,0.12402153015136719,4.7115817,54.216434478759766
general,cold,CCD,9,True,0.1126105785369873,4.67478,171.51776123046875
general,cold,CCD,8,True,0.09907317161560059,0.8662014,159.8387451171875
general,cold,CCD,5,True,0.0612027645111084,3.5753846,131.90353393554688
general,cold,CCD,7,True,0.08407855033874512,4.070169,166.0716094970703
general,cold,CCD,7,True,0.09316182136535645,0.94447714,142.72845458984375
general,cold,CCD,9,True,0.1153712272644043,0.6468883,114.58570098876953
general,cold,CCD,8,True,0.12068819999694824,2.0278997,154.68663024902344
general,cold,CCD,8,True,0.10284852981567383,1.462289,73.06909942626953
general,cold,CCD,6,True,0.07590579986572266,2.7748477,100.52595520019531
general,cold,CCD,6,True,0.08398556709289551,3.8481324,133.27630615234375
general,cold,CCD,9,True,0.10882377624511719,1.3528792,140.86277770996094
general,cold,CCD,6,True,0.07350826263427734,1.741143,71.81412506103516
general,cold,CCD,7,True,0.08908653259277344,1.4917923,119.495849609375
general,cold,CCD,11,True,0.13192248344421387,4.4261065,118.01224517822266
general,cold,CCD,9,True,0.11052250862121582,2.39494,127.93685150146484
general,cold,CCD,9,True,0.1087045669555664,3.684323,134.72882080078125
general,cold,CCD,9,True,0.13126230239868164,2.8910449,110.20369720458984
general,cold,CCD,9,True,0.11697697639465332,3.620836,43.839012145996094
general,cold,CCD,8,True,0.09829998016357422,0.20253588,167.14756774902344
general,cold,CCD,8,True,0.09694409370422363,4.94742,64.6280746459961
general,cold,CCD,8,True,0.09894990921020508,4.7783127,124.4328842163086
general,cold,CCD,10,True,0.12109231948852539,3.386894,46.88967514038086
general,cold,CCD,9,True,0.11330270767211914,1.0201849,153.40811157226562
general,cold,CCD,8,True,0.09977602958679199,2.9008675,151.99948120117188
general,cold,CCD,6,True,0.07277703285217285,4.9430265,122.8758773803711
general,cold,CCD,5,True,0.0632627010345459,2.7434406,129.29934692382812
general,cold,CCD,7,True,0.10333013534545898,4.5433197,98.8266830444336
general,cold,CCD,8,True,0.11127161979675293,4.217555,129.52627563476562
general,cold,CCD,13,True,0.15814614295959473,3.4757817,46.16881561279297
general,cold,CCD,12,True,0.19012165069580078,4.9159274,161.07174682617188
general,cold,CCD,8,True,0.12242865562438965,1.5866953,97.54020690917969
general,cold,CCD,4,True,0.052204132080078125,3.6870823,115.14012908935547
general,cold,CCD,9,True,0.12144637107849121,0.58211285,159.75872802734375
general,cold,CCD,7,True,0.08660197257995605,4.2859583,66.92241668701172
general,cold,CCD,9,True,0.11984515190124512,4.9641404,116.76954650878906
general,cold,CCD,8,True,0.10792231559753418,2.8052783,85.70057678222656
general,cold,CCD,13,True,0.15767621994018555,4.823322,117.70587158203125
